1,Администрация,0,0
2,Департамент финансов,0,1
10,Департамент маркетинга и продаж,0,4
15,Служба качества,0,5
19,Отдел главного метролога,0,8
20,Служба технического директора,0,9
22,Департамент СВЧ электроники,0,11
30,Департамент телекоммуникаций,0,13
39,Департамент информационно-измерительных систем,0,18
47,Служба эксплуатации,0,24
49,Завод радиоэлектронной аппаратуры,0,25
52,Отдел капитального строительства,0,27
53,"НПК ""Микроэлектроника""",0,28
78,НИИ СЭС,0,44
128,"Представительство АО ""НПФ ""Микран"" в г.Москва",0,64
190,"ООО ""Микран-Групп""",0,88
202,Производство мобильных комплексов связи (МКС),0,90
344,Департамент управления персоналом и организационного развития,0,172
358,Департамент экономики и планирования,0,186
364,Департамент снабжения и логистики,0,188
384,Департамент безопасности,0,204
385,Научно-техническое управление,0,205
423,Служба режима,0,238
427,"Филиал АО ""НПФ ""Микран"" в г.Москва",0,242
429,Служба внутреннего аудита,0,244
455,Производственно-диспетчерский отдел предприятия,0,268
